fold,n_train,n_test,auc,accuracy,f1
1,86,82,0.49516908212560384,0.5,0.616822429906542
2,168,82,0.5507598784194528,0.5609756097560976,0.6842105263157895
3,250,82,0.5,0.524390243902439,0.6285714285714286
4,332,82,0.4046844502277163,0.5365853658536586,0.6724137931034483
5,414,82,0.5269016697588126,0.5853658536585366,0.7166666666666667
